875, 800, 1.56167451s
875, 801, 1.568197957s
875, 802, 1.718091388s
875, 803, 1.969347348s
875, 804, 1.994608374s
875, 805, 2.629859447s
875, 806, 3.215653292s
875, 807, 3.284766271s
875, 808, 3.297322775s
875, 809, 3.330683886s
875, 810, 3.363397897s
875, 811, 4.319286839s
875, 812, 4.334622465s
875, 813, 4.350496685s
875, 814, 4.351192378s
875, 815, 4.376251068s
875, 816, 4.377328797s
875, 817, 4.381662273s
875, 818, 4.392879616s
875, 819, 4.419276496s
875, 820, 4.434736363s
875, 821, 4.436230061s
875, 822, 4.460016877s
875, 823, 4.460761076s
875, 824, 4.467086133s
875, 825, 4.46836686s
875, 826, 4.478652034s
875, 827, 4.48506567s
875, 828, 4.490173861s
875, 829, 4.500746692s
875, 830, 4.50279719s
875, 831, 4.517498531s
875, 832, 4.535688996s
875, 833, 4.535914156s
875, 834, 4.55031294s
875, 835, 4.549993901s
875, 836, 4.567750932s
875, 837, 4.571526833s
875, 838, 4.57510322s
875, 839, 4.575478957s
875, 840, 4.57993846s
875, 841, 4.585199093s
875, 842, 4.606343972s
875, 843, 4.605625455s
875, 844, 4.606160451s
875, 845, 4.614642263s
875, 846, 4.615076134s
875, 847, 4.623992605s
875, 848, 4.622741711s
875, 849, 4.624014775s
875, 850, 4.629620938s
875, 851, 4.648776084s
875, 852, 4.649746732s
875, 853, 4.655329653s
875, 854, 4.661295408s
875, 855, 4.661123111s
875, 856, 4.669664261s
875, 857, 4.672645279s
875, 858, 4.68972586s
875, 859, 4.694078813s
875, 860, 4.697207962s
875, 861, 4.704248144s
875, 862, 4.70760511s
875, 863, 4.709930815s
875, 864, 4.710139417s
875, 865, 4.709949359s
875, 866, 4.724037342s
875, 867, 4.733541796s
875, 868, 4.737228328s
875, 869, 4.736392914s
875, 870, 4.736636476s
875, 871, 4.74663911s
875, 872, 4.759449741s
875, 873, 4.760932909s
875, 874, 4.775148472s
875, 875, 4.789787488s
